matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
M1,"samples near(1) samples [ME]",samples,near,1,samples,ME,"none",FIND_TARGET_IRIS,federation,429,32372,0,145656,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?iri"
M1,"samples near(1) facilities [ME]",samples,near,1,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,15186,2273,226006,ok,""
M1,"samples near(1) waterBodies [ME]",samples,near,1,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,1699,2199,219109,ok,""
M1,"samples near(1) wells [ME]",samples,near,1,wells,ME,"none",FIND_TARGET_IRIS,federation,200,5140,4279,426312,ok,""
M1,"samples near(1) aquifers [ME]",samples,near,1,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,1606,2759,275124,ok,""
M1,"facilities near(1) samples [ME]",facilities,near,1,samples,ME,"none",FIND_TARGET_IRIS,federation,200,16321,1358,131776,ok,""
M1,"facilities near(1) facilities [ME]",facilities,near,1,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,2327,2976,288722,ok,""
M1,"facilities near(1) waterBodies [ME]",facilities,near,1,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,856,1591,154377,ok,""
M1,"facilities near(1) wells [ME]",facilities,near,1,wells,ME,"none",FIND_TARGET_IRIS,federation,200,2829,2900,281350,ok,""
M1,"facilities near(1) aquifers [ME]",facilities,near,1,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,1593,1728,167666,ok,""
M1,"waterBodies near(1) samples [ME]",waterBodies,near,1,samples,ME,"none",FIND_TARGET_IRIS,federation,200,24730,591,46171,ok,""
M1,"waterBodies near(1) facilities [ME]",waterBodies,near,1,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,965,1015,79236,ok,""
M1,"waterBodies near(1) waterBodies [ME]",waterBodies,near,1,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,1475,6612,515329,ok,""
M1,"waterBodies near(1) wells [ME]",waterBodies,near,1,wells,ME,"none",FIND_TARGET_IRIS,federation,200,3634,3553,277151,ok,""
M1,"waterBodies near(1) aquifers [ME]",waterBodies,near,1,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,2212,3165,246903,ok,""
M1,"wells near(1) samples [ME]",wells,near,1,samples,ME,"none",FIND_TARGET_IRIS,federation,200,2390,14897,1419183,ok,""
M1,"wells near(1) facilities [ME]",wells,near,1,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,1675,25668,2445455,ok,""
M1,"wells near(1) waterBodies [ME]",wells,near,1,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,3126,52861,5039837,ok,""
M1,"wells near(1) wells [ME]",wells,near,1,wells,ME,"none",FIND_TARGET_IRIS,federation,200,2462,83038,7915711,ok,""
M1,"wells near(1) aquifers [ME]",wells,near,1,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,1180,40080,3820012,ok,""
M1,"aquifers near(1) samples [ME]",aquifers,near,1,samples,ME,"none",FIND_TARGET_IRIS,federation,200,6180,899,88152,ok,""
M1,"aquifers near(1) facilities [ME]",aquifers,near,1,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,857,1504,147442,ok,""
M1,"aquifers near(1) waterBodies [ME]",aquifers,near,1,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,553,3712,363826,ok,""
M1,"aquifers near(1) wells [ME]",aquifers,near,1,wells,ME,"none",FIND_TARGET_IRIS,federation,200,5279,3659,358632,ok,""
M1,"aquifers near(1) aquifers [ME]",aquifers,near,1,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,661,4972,487306,ok,""
M9,"samples near(1) facilities [1 county (Cumberland)]",samples,near,1,facilities,1 county (Cumberland),"none",FIND_TARGET_IRIS,federation,200,848,430,42417,ok,""
M9,"samples near(1) facilities [3 counties]",samples,near,1,facilities,3 counties,"none",FIND_TARGET_IRIS,federation,200,1398,1048,104024,ok,""
M9,"samples downstream facilities [1 county (Cumberland)]",samples,downstream,,facilities,1 county (Cumberland),"none",FIND_TARGET_IRIS,federation,200,11275,339,33660,ok,""
M9,"samples downstream facilities [3 counties]",samples,downstream,,facilities,3 counties,"none",FIND_TARGET_IRIS,federation,200,15012,902,89702,ok,""
M4,"samples near(0) facilities [ME]",samples,near,0,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,689,985,97829,ok,""
M4,"samples near(0) wells [ME]",samples,near,0,wells,ME,"none",FIND_TARGET_IRIS,federation,200,409,3254,324661,ok,""
M4,"wells near(0) facilities [ME]",wells,near,0,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,460,5462,520181,ok,""
M4,"waterBodies near(0) facilities [ME]",waterBodies,near,0,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,311,352,27529,ok,""
M4,"samples near(0) waterBodies [ME]",samples,near,0,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,297,709,70653,ok,""
M4,"samples near(2) facilities [ME]",samples,near,2,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,6526,3061,304522,ok,""
M4,"samples near(2) wells [ME]",samples,near,2,wells,ME,"none",FIND_TARGET_IRIS,federation,200,11857,4438,442021,ok,""
M4,"wells near(2) facilities [ME]",wells,near,2,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,18875,45280,4314627,ok,""
M4,"waterBodies near(2) facilities [ME]",waterBodies,near,2,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,6735,1628,127046,ok,""
M4,"samples near(2) waterBodies [ME]",samples,near,2,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,10562,3120,310874,ok,""
M4,"samples near(3) facilities [ME]",samples,near,3,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,20865,3734,371680,ok,""
M4,"samples near(3) wells [ME]",samples,near,3,wells,ME,"none",FIND_TARGET_IRIS,federation,200,21882,4500,448158,ok,""
M4,"wells near(3) facilities [ME]",wells,near,3,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,16425,59773,5696279,ok,""
M4,"waterBodies near(3) facilities [ME]",waterBodies,near,3,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,8600,2245,175154,ok,""
M4,"samples near(3) waterBodies [ME]",samples,near,3,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,429,30735,0,98857,timeout-30s,"Operation timed out. Last operation: Join on ?_QLever_internal_variable_qp_1"
M4,"samples near(4) facilities [ME]",samples,near,4,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,14729,4100,408270,ok,""
M4,"samples near(4) wells [ME]",samples,near,4,wells,ME,"none",FIND_TARGET_IRIS,federation,200,25625,4521,450253,ok,""
M4,"wells near(4) facilities [ME]",wells,near,4,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,33339,0,102148,timeout-30s,"Operation timed out. Last operation: Join on ?_QLever_internal_variable_qp_0"
M4,"waterBodies near(4) facilities [ME]",waterBodies,near,4,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,24422,0,96239,timeout-sort-estimate,"Sort operation was canceled, because time estimate exceeded remaining time by a factor of 3 Last operation: Sort (internal order) on ?s2anchor"
M4,"samples near(4) waterBodies [ME]",samples,near,4,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,3438,4242,422366,ok,""
M8,"substance filter (PFOS)",samples,near,1,facilities,ME,"substance",FIND_TARGET_IRIS,federation,200,16100,1375,137087,ok,""
M8,"material filter (GW)",samples,near,1,facilities,ME,"material",FIND_TARGET_IRIS,federation,200,1005,0,51,ok,""
M8,"concentration range 10-1000",samples,near,1,facilities,ME,"range",FIND_TARGET_IRIS,federation,200,13334,944,94142,ok,""
M8,"exclude non-detects",samples,near,1,facilities,ME,"nondetect",FIND_TARGET_IRIS,federation,200,1533,1892,188313,ok,""
M8,"substance + downstream",samples,downstream,,facilities,ME,"substance+ds",FIND_TARGET_IRIS,federation,200,27890,1406,140054,ok,""
M8,"NAICS 2-digit (whole sector 31)",samples,near,1,facilities,ME,"naics-sector",FIND_TARGET_IRIS,federation,200,11647,334,32910,ok,""
M8,"aquifer type filter",samples,near,1,aquifers,ME,"aquifer-type",FIND_TARGET_IRIS,federation,200,30021,2759,275124,ok,""
M8,"waterbody ftype filter",samples,near,1,waterBodies,ME,"wb-ftype",FIND_TARGET_IRIS,federation,200,2049,1583,157769,ok,""
M2,"samples downstream samples [ME]",samples,downstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,9769,3214,320324,ok,""
M2,"samples downstream facilities [ME]",samples,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,12085,2412,240234,ok,""
M2,"samples downstream waterBodies [ME]",samples,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,19820,2610,260032,ok,""
M2,"samples downstream wells [ME]",samples,downstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,34614,0,97641,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?iri"
M2,"samples downstream aquifers [ME]",samples,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,25410,2741,273105,ok,""
M2,"facilities downstream samples [ME]",facilities,downstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,17367,1657,160779,ok,""
M2,"facilities downstream facilities [ME]",facilities,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,500,30111,0,126070,engine-oom,"Tried to allocate 5.9 GB, but only 4.4 GB were available"
M2,"facilities downstream waterBodies [ME]",facilities,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,500,29218,0,173840,engine-oom,"Tried to allocate 6.1 GB, but only 6.1 GB were available"
M2,"facilities downstream wells [ME]",facilities,downstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,31235,0,108297,timeout-30s,"Operation timed out. Last operation: Join on ?upstream_flowline"
M2,"facilities downstream aquifers [ME]",facilities,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,30355,0,127956,engine-oom,"Tried to allocate 3.2 GB, but only 2.2 GB were available"
M2,"waterBodies downstream samples [ME]",waterBodies,downstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,10886,1511,117916,ok,""
