runAt,commit,matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
2026-09-20T03:36,002e529,MD,"facilities upstream samples [ME on A] step0",facilities,upstream,,samples,ME on A,"none",FIND_TARGET_IRIS,federation,429,30442,0,111431,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
2026-09-20T03:36,002e529,MD,"facilities upstream samples [ME on A] step1",facilities,upstream,,samples,ME on A,"none",FIND_ANCHOR_IRIS,federation,429,32609,0,111600,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2anchor"
2026-09-20T03:36,002e529,MD,"facilities upstream samples [ME on C] step0",facilities,upstream,,samples,ME on C,"none",FIND_TARGET_IRIS,federation,429,39826,0,108007,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T03:36,002e529,MD,"facilities upstream samples [ME on C] step1",facilities,upstream,,samples,ME on C,"none",FIND_ANCHOR_IRIS,federation,500,32117,0,108455,engine-oom,"Tried to allocate 1.7 GB, but only 499.5 MB were available"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) samples [ME on A] step0",facilities,upstream,,samples,ME on A,"30km",FIND_TARGET_IRIS,federation,200,22993,2399,238993,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) samples [ME on A] step1",facilities,upstream,,samples,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,8647,2523,244781,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) samples [ME on C] step0",facilities,upstream,,samples,ME on C,"30km",FIND_TARGET_IRIS,federation,429,30370,0,479268,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) samples [ME on C] step1",facilities,upstream,,samples,ME on C,"30km",FIND_ANCHOR_IRIS,federation,500,21553,0,479800,engine-oom,"Tried to allocate 2.1 GB, but only 1.2 GB were available"
2026-09-20T03:36,002e529,MD,"facilities upstream streams [ME on A] step0",facilities,upstream,,streams,ME on A,"none",FIND_TARGET_IRIS,federation,200,16106,9632,749884,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream streams [ME on A] step1",facilities,upstream,,streams,ME on A,"none",FIND_ANCHOR_IRIS,federation,200,1117,2858,277276,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream streams [ME on C] step0",facilities,upstream,,streams,ME on C,"none",FIND_TARGET_IRIS,federation,200,17928,9502,739652,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream streams [ME on C] step1",facilities,upstream,,streams,ME on C,"none",FIND_ANCHOR_IRIS,federation,200,3760,4056,393482,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) streams [ME on A] step0",facilities,upstream,,streams,ME on A,"30km",FIND_TARGET_IRIS,federation,200,12374,9110,709410,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) streams [ME on A] step1",facilities,upstream,,streams,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,1583,2858,277276,ok,""
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) streams [ME on C] step0",facilities,upstream,,streams,ME on C,"30km",FIND_TARGET_IRIS,federation,429,32002,0,479100,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) streams [ME on C] step1",facilities,upstream,,streams,ME on C,"30km",FIND_ANCHOR_IRIS,federation,429,31369,0,478927,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T03:36,002e529,MD,"facilities upstream wells [ME on A] step0",facilities,upstream,,wells,ME on A,"none",FIND_TARGET_IRIS,federation,429,31171,0,117042,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
2026-09-20T03:36,002e529,MD,"facilities upstream wells [ME on A] step1",facilities,upstream,,wells,ME on A,"none",FIND_ANCHOR_IRIS,federation,500,19623,0,117156,engine-oom,"Tried to allocate 1.6 GB, but only 911.8 MB were available"
2026-09-20T03:36,002e529,MD,"facilities upstream wells [ME on C] step0",facilities,upstream,,wells,ME on C,"none",FIND_TARGET_IRIS,federation,429,36758,0,111550,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T03:36,002e529,MD,"facilities upstream wells [ME on C] step1",facilities,upstream,,wells,ME on C,"none",FIND_ANCHOR_IRIS,federation,429,31463,0,111552,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) wells [ME on A] step0",facilities,upstream,,wells,ME on A,"30km",FIND_TARGET_IRIS,federation,429,30384,0,527792,timeout-30s,"Operation timed out. Last operation: Join on ?s2target"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) wells [ME on A] step1",facilities,upstream,,wells,ME on A,"30km",FIND_ANCHOR_IRIS,federation,429,31207,0,532435,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2anchor"
2026-09-20T03:36,002e529,MD,"facilities upstream(30km) wells [ME on C] step0",facilities,upstream,,wells,ME on C,"30km",FIND_TARGET_IRIS,federation,429,30329,0,522447,timeout-30s,"Operation timed out. Last operation: Join on ?s2anchor"
