runAt,commit,matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
2026-09-20T04:57,4454b80,MD,"facilities upstream samples [ME on A] step0",facilities,upstream,,samples,ME on A,"none",FIND_TARGET_IRIS,federation,429,35192,0,111567,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2anchor"
2026-09-20T04:57,4454b80,MD,"facilities upstream samples [ME on A] step1",facilities,upstream,,samples,ME on A,"none",FIND_ANCHOR_IRIS,federation,200,15049,2652,257294,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream samples [ME on C] step0",facilities,upstream,,samples,ME on C,"none",FIND_TARGET_IRIS,federation,429,35304,0,108006,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"facilities upstream samples [ME on C] step1",facilities,upstream,,samples,ME on C,"none",FIND_ANCHOR_IRIS,federation,429,31895,0,107974,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) samples [ME on A] step0",facilities,upstream,,samples,ME on A,"30km",FIND_TARGET_IRIS,federation,200,22272,2399,238993,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) samples [ME on A] step1",facilities,upstream,,samples,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,8737,2523,244781,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) samples [ME on C] step0",facilities,upstream,,samples,ME on C,"30km",FIND_TARGET_IRIS,federation,429,30365,0,479272,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) samples [ME on C] step1",facilities,upstream,,samples,ME on C,"30km",FIND_ANCHOR_IRIS,federation,500,22988,0,479803,engine-oom,"Tried to allocate 2.1 GB, but only 1.2 GB were available"
2026-09-20T04:57,4454b80,MD,"facilities upstream streams [ME on A] step0",facilities,upstream,,streams,ME on A,"none",FIND_TARGET_IRIS,federation,200,15741,9632,749884,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream streams [ME on A] step1",facilities,upstream,,streams,ME on A,"none",FIND_ANCHOR_IRIS,federation,200,1336,2858,277276,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream streams [ME on C] step0",facilities,upstream,,streams,ME on C,"none",FIND_TARGET_IRIS,federation,200,17914,9502,739652,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream streams [ME on C] step1",facilities,upstream,,streams,ME on C,"none",FIND_ANCHOR_IRIS,federation,200,3546,4056,393482,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) streams [ME on A] step0",facilities,upstream,,streams,ME on A,"30km",FIND_TARGET_IRIS,federation,200,11490,9110,709410,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) streams [ME on A] step1",facilities,upstream,,streams,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,1555,2858,277276,ok,""
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) streams [ME on C] step0",facilities,upstream,,streams,ME on C,"30km",FIND_TARGET_IRIS,federation,429,31331,0,479098,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) streams [ME on C] step1",facilities,upstream,,streams,ME on C,"30km",FIND_ANCHOR_IRIS,federation,429,31126,0,478929,timeout-30s,"Operation timed out. Last operation: Join on ?_flMid"
2026-09-20T04:57,4454b80,MD,"facilities upstream wells [ME on A] step0",facilities,upstream,,wells,ME on A,"none",FIND_TARGET_IRIS,federation,429,30580,0,117034,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
2026-09-20T04:57,4454b80,MD,"facilities upstream wells [ME on A] step1",facilities,upstream,,wells,ME on A,"none",FIND_ANCHOR_IRIS,federation,500,18201,0,117149,engine-oom,"Tried to allocate 1.6 GB, but only 911.8 MB were available"
2026-09-20T04:57,4454b80,MD,"facilities upstream wells [ME on C] step0",facilities,upstream,,wells,ME on C,"none",FIND_TARGET_IRIS,federation,429,35003,0,111544,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"facilities upstream wells [ME on C] step1",facilities,upstream,,wells,ME on C,"none",FIND_ANCHOR_IRIS,federation,429,35129,0,111554,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) wells [ME on A] step0",facilities,upstream,,wells,ME on A,"30km",FIND_TARGET_IRIS,federation,429,30727,0,524032,timeout-30s,"Operation timed out. Last operation: GroupBy on ?_flEnd ?upstream_flowline"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) wells [ME on A] step1",facilities,upstream,,wells,ME on A,"30km",FIND_ANCHOR_IRIS,federation,429,30515,0,532240,timeout-30s,"Operation timed out. Last operation: Join on ?upstream_flowline"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) wells [ME on C] step0",facilities,upstream,,wells,ME on C,"30km",FIND_TARGET_IRIS,federation,429,31265,0,521767,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"facilities upstream(30km) wells [ME on C] step1",facilities,upstream,,wells,ME on C,"30km",FIND_ANCHOR_IRIS,federation,429,30485,0,526100,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"samples downstream facilities [ME on A] step0",samples,downstream,,facilities,ME on A,"none",FIND_TARGET_IRIS,federation,500,26885,0,108100,engine-oom,"Tried to allocate 2.6 GB, but only 1.5 GB were available"
2026-09-20T04:57,4454b80,MD,"samples downstream facilities [ME on A] step1",samples,downstream,,facilities,ME on A,"none",FIND_ANCHOR_IRIS,federation,429,31087,0,107966,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T04:57,4454b80,MD,"samples downstream facilities [ME on C] step0",samples,downstream,,facilities,ME on C,"none",FIND_TARGET_IRIS,federation,429,33932,0,111521,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2anchor"
2026-09-20T04:57,4454b80,MD,"samples downstream facilities [ME on C] step1",samples,downstream,,facilities,ME on C,"none",FIND_ANCHOR_IRIS,federation,200,15537,2652,257294,ok,""
2026-09-20T04:57,4454b80,MD,"samples downstream(30km) facilities [ME on A] step0",samples,downstream,,facilities,ME on A,"30km",FIND_TARGET_IRIS,federation,429,30809,0,478795,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?_flMid"
2026-09-20T04:57,4454b80,MD,"samples downstream(30km) facilities [ME on A] step1",samples,downstream,,facilities,ME on A,"30km",FIND_ANCHOR_IRIS,federation,500,27170,0,479799,engine-oom,"Tried to allocate 2.1 GB, but only 1.2 GB were available"
