runAt,commit,matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
2026-09-20T03:59,ec221d9,MD,"facilities upstream samples [ME on A] step0",facilities,upstream,,samples,ME on A,"none",FIND_TARGET_IRIS,federation,429,34883,0,111567,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?s2anchor"
2026-09-20T03:59,ec221d9,MD,"facilities upstream samples [ME on A] step1",facilities,upstream,,samples,ME on A,"none",FIND_ANCHOR_IRIS,federation,200,15632,2652,257294,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream samples [ME on C] step0",facilities,upstream,,samples,ME on C,"none",FIND_TARGET_IRIS,federation,429,32842,0,108003,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T03:59,ec221d9,MD,"facilities upstream samples [ME on C] step1",facilities,upstream,,samples,ME on C,"none",FIND_ANCHOR_IRIS,federation,429,33502,0,107965,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) samples [ME on A] step0",facilities,upstream,,samples,ME on A,"30km",FIND_TARGET_IRIS,federation,200,23001,2399,238993,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) samples [ME on A] step1",facilities,upstream,,samples,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,9362,2523,244781,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) samples [ME on C] step0",facilities,upstream,,samples,ME on C,"30km",FIND_TARGET_IRIS,federation,429,30290,0,366814,timeout-30s,"Operation timed out. Last operation: Join on ?s2anchor"
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) samples [ME on C] step1",facilities,upstream,,samples,ME on C,"30km",FIND_ANCHOR_IRIS,federation,200,17243,3213,311711,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream streams [ME on A] step0",facilities,upstream,,streams,ME on A,"none",FIND_TARGET_IRIS,federation,200,15779,9632,749884,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream streams [ME on A] step1",facilities,upstream,,streams,ME on A,"none",FIND_ANCHOR_IRIS,federation,200,1242,2858,277276,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream streams [ME on C] step0",facilities,upstream,,streams,ME on C,"none",FIND_TARGET_IRIS,federation,200,11135,9502,739652,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream streams [ME on C] step1",facilities,upstream,,streams,ME on C,"none",FIND_ANCHOR_IRIS,federation,200,3565,4056,393482,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) streams [ME on A] step0",facilities,upstream,,streams,ME on A,"30km",FIND_TARGET_IRIS,federation,200,11488,9110,709410,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) streams [ME on A] step1",facilities,upstream,,streams,ME on A,"30km",FIND_ANCHOR_IRIS,federation,200,1433,2858,277276,ok,""
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) streams [ME on C] step0",facilities,upstream,,streams,ME on C,"30km",FIND_TARGET_IRIS,federation,500,23847,0,360813,engine-oom,"Tried to allocate 3.9 GB, but only 2.6 GB were available"
2026-09-20T03:59,ec221d9,MD,"facilities upstream(30km) streams [ME on C] step1",facilities,upstream,,streams,ME on C,"30km",FIND_ANCHOR_IRIS,federation,429,30612,0,361262,timeout-sort-estimate,"Sort operation was canceled, because time estimate exceeded remaining time by a factor of 3 Last operation: Sort (internal order) on ?_flEnd ?ds_flowline"
2026-09-20T03:59,ec221d9,MD,"facilities upstream wells [ME on A] step0",facilities,upstream,,wells,ME on A,"none",FIND_TARGET_IRIS,federation,429,30551,0,117000,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
2026-09-20T03:59,ec221d9,MD,"facilities upstream wells [ME on A] step1",facilities,upstream,,wells,ME on A,"none",FIND_ANCHOR_IRIS,federation,500,17749,0,117117,engine-oom,"Tried to allocate 1.6 GB, but only 911.8 MB were available"
2026-09-20T03:59,ec221d9,MD,"facilities upstream wells [ME on C] step0",facilities,upstream,,wells,ME on C,"none",FIND_TARGET_IRIS,federation,429,34370,0,111544,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
